Distrito Federal,Distrito Local,Municipio,Sección,Tipo Sección,Padrón Electoral,Listado Nominal,Casilla,Tipo Casilla,"Casilla
con urna electrónic",Domicilio,Localidad y Manzana,Ubicación,Referencia,Tipo Domicilio,postal_code,Distrito Federal_,Distrito Local_,Municipio_
MATEHUALA,MATEHUALA,CATORCE,98,NO URBANA,647,645,NO URBANA,B1,NO,"CALLE CONSTITUCIÓN NÚMERO 8, ZONA CENTRO, REAL DE CATORCE, CÓDIGO POSTAL 78550, CATORCE, SAN LUIS POTOSÍ",1) REAL DE CATORCE 0021,ESCUELA PRIMARIA RURAL BENITO JUÁREZ,ENTRE CALLES JUÁREZ Y MATAMOROS,ESCUELA,78550,1,1,6
MATEHUALA,MATEHUALA,CATORCE,98,NO URBANA,647,645,NO URBANA,C1,NO,"CALLE CONSTITUCIÓN NÚMERO 8, ZONA CENTRO, REAL DE CATORCE, CÓDIGO POSTAL 78550, CATORCE, SAN LUIS POTOSÍ",1) REAL DE CATORCE 0021,ESCUELA PRIMARIA RURAL BENITO JUÁREZ,ENTRE CALLES JUÁREZ Y MATAMOROS,ESCUELA,78550,1,1,6
MATEHUALA,MATEHUALA,CATORCE,99,NO URBANA,131,131,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, CHARCO LARGO, CÓDIGO POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",32) CHARCO LARGO,ESCUELA PRIMARIA DAMIÁN CARMONA,FRENTE A LA CANCHA DEPORTIVA Y LA CONASUPO,ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,101,NO URBANA,234,234,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, EL SALTO Y ANEXOS, CÓDIGO POSTAL 78551, CATORCE, SAN LUIS POTOSÍ",76) EL SALTO Y ANEXOS,ESCUELA PRIMARIA RURAL AQUILES SERDÁN,"A 50 METROS DE LA TELESECUNDARIA, FRENTE A LA CANCHA DE BALONCESTO",ESCUELA,78551,1,1,6
MATEHUALA,MATEHUALA,CATORCE,102,NO URBANA,272,270,"NO
URBANA",B1,NO,"CALLE PÍPILA SIN NÚMERO, SAN CRISTÓBAL, CÓDIGO
POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",79) SAN CRISTOBAL 0019,"ESCUELA PRIMARIA ROSAS
MORENO",FRENTE A LA CANCHA DEPORTIVA,ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,103,NO URBANA,350,350,NO URBANA,B1,NO,"CALLE VICENTE GUERRERO NÚMERO 64, SANTA MARÍA DEL REFUGIO, CÓDIGO POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",92) SANTA MARIA DEL REFUGIO,ESCUELA PRIMARIA RURAL GUADALUPE VICTORIA,"SALIDA A TANQUE DE ARENAS, FRENTE AL ALBERGUE",ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,105,NO URBANA,300,298,NO URBANA,B1,NO,"CALLE NIÑOS HÉROES NÚMERO 56, TANQUE DE DOLORES, CÓDIGO POSTAL 78564, CATORCE, SAN LUIS POTOSÍ",101) TANQUE DE DOLORES 0005,ESCUELA PRIMARIA RURAL NIÑOS HÉROES,AL COSTADO NORTE DE LA IGLESIA,ESCUELA,78564,1,1,6
MATEHUALA,MATEHUALA,CATORCE,106,NO URBANA,513,512,NO URBANA,B1,NO,"CALLE 5 DE MAYO SIN NÚMERO, ESTACIÓN CATORCE, CÓDIGO POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",35) ESTACION CATORCE 0062,ESCUELA PRIMARIA RURAL JOSÉ MARÍA MORELOS,"ESQUINA CALLE ANTONIO
COLUNGA , FRENTE A LA PLAZA MULTIFUNCIONAL MIGUEL HIDALGO",ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,106,NO URBANA,513,512,NO URBANA,C1,NO,"CALLE 5 DE MAYO SIN NÚMERO, ESTACIÓN CATORCE, CÓDIGO POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",35) ESTACION CATORCE 0062,ESCUELA PRIMARIA RURAL JOSÉ MARÍA MORELOS,"ESQUINA CALLE ANTONIO
COLUNGA , FRENTE A LA PLAZA MULTIFUNCIONAL MIGUEL
HIDALGO",ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,107,NO URBANA,191,190,NO URBANA,B1,NO,"CALLE MATAMOROS NÚMERO 16, SANTA CRUZ DE CARRETAS, CÓDIGO POSTAL 78540, CATORCE, SAN LUIS POTOSÍ",90) SANTA CRUZ DE CARRETAS 0016,ESCUELA PRIMARIA MIGUEL HIDALGO Y COSTILLA,"ENTRE CALLES RUÍZ CORTINEZ Y 5 DE MAYO, A UNA CUADRA DE LA CARRETERA A ESTACIÓN CATORCE",ESCUELA,78540,1,1,6
MATEHUALA,MATEHUALA,CATORCE,108,NO URBANA,542,542,NO URBANA,B1,NO,"AVENIDA HIDALGO SIN NÚMERO, EL POTRERO, CÓDIGO POSTAL 78551, CATORCE, SAN LUIS POTOSÍ",64) EL POTRERO 0024,ESCUELA PRIMARIA RURAL MIGUEL HIDALGO Y COSTILLA,"ENTRE EL CAMPO DE FÚTBOL, TELESECUNDARIA Y GASOLINERA",ESCUELA,78551,1,1,6
MATEHUALA,MATEHUALA,CATORCE,110,NO URBANA,402,402,NO URBANA,B1,NO,"CALLE INDEPENDENCIA SIN NÚMERO, EL MASTRANTO, CÓDIGO POSTAL 78560, CATORCE, SAN LUIS POTOSÍ",52) EL MASTRANTO,ESCUELA PRIMARIA RURAL 5 DE FEBRERO DE 1917,A UN COSTADO DE LA CANCHA Y JARDÍN DE NIÑOS,ESCUELA,78560,1,1,6
MATEHUALA,MATEHUALA,CATORCE,111,NO URBANA,315,315,NO URBANA,B1,NO,"CALLE GUADALUPE VICTORIA SIN NÚMERO, LA CARDONCITA, CÓDIGO POSTAL 78560, CATORCE, SAN LUIS POTOSÍ",23) LA CARDONCITA 0043,ESCUELA PRIMARIA NICOLÁS BRAVO,"ESQUINA CALLE NIÑOS HÉROES, A UN COSTADO DE LA IGLESIA",ESCUELA,78560,1,1,6
MATEHUALA,MATEHUALA,CATORCE,112,NO URBANA,473,473,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, WADLEY, CÓDIGO POSTAL 78560, CATORCE, SAN LUIS POTOSÍ",109) WADLEY (ESTACION),ESCUELA PRIMARIA FRANCISCO SARABIA,"ENTRADA NORTE FRENTE A LA VÍA DEL FERROCARRIL, ENTRE JARDÍN DE NIÑOS Y CAMPO DE BÉISBOL",ESCUELA,78560,1,1,6
MATEHUALA,MATEHUALA,CATORCE,113,NO URBANA,230,230,NO URBANA,B1,NO,"CALLE MARIANO MATAMOROS NÚMERO 2, SAN JOSÉ DE CORONADOS, CÓDIGO POSTAL 78561, CATORCE, SAN LUIS POTOSÍ",82) SAN JOSE DE CORONADOS,ESCUELA PRIMARIA RURAL MARIANO MATAMOROS,"FRENTE AL POZO PAPALOTE, LADO PONIENTE DEL ALBERGUE",ESCUELA,78561,1,1,6
MATEHUALA,MATEHUALA,CATORCE,114,NO URBANA,166,166,NO URBANA,B1,NO,"CALLE LA LOMITA SIN NÚMERO, ALAMITOS DE LOS DÍAZ, CÓDIGO POSTAL 78550, CATORCE, SAN LUIS POTOSÍ",6) ALAMITOS DE LOS DIAZ,ESCUELA PRIMARIA RURAL JOSÉ MARÍA MORELOS Y PAVÓN,"A UN COSTADO DE LA IGLESIA, FRENTE A LA CASETA",ESCUELA,78550,1,1,6
MATEHUALA,MATEHUALA,CATORCE,115,NO URBANA,338,338,NO URBANA,B1,NO,"DOMICILIO CONOCIDO, EL JORDÁN, CÓDIGO POSTAL 78562, CATORCE, SAN LUIS POTOSÍ",44) EL JORDAN,ESCUELA PRIMARIA PANCHO VILLA,EN EL CENTRO DEL POBLADO,ESCUELA,78562,1,1,6
MATEHUALA,MATEHUALA,CATORCE,116,NO URBANA,266,266,NO URBANA,B1,NO,"CALLE VICTORIA SIN NÚMERO, SAN ANTONIO DE CORONADOS,  CÓDIGO POSTAL 78562, CATORCE, SAN LUIS POTOSÍ",77) SAN ANTONIO DE CORONADOS 0017,ESCUELA PRIMARIA JUAN SARABIA,A UN COSTADO DEL JARDÍN DE NIÑOS,ESCUELA,78562,1,1,6
MATEHUALA,MATEHUALA,CATORCE,117,NO URBANA,219,219,NO URBANA,B1,NO,"CALLE ITURBIDE SIN NÚMERO, RANCHITO DE CORONADOS, CÓDIGO POSTAL 78562, CATORCE, SAN LUIS POTOSÍ",68) RANCHITO DE CORONADOS 0007,ESCUELA PRIMARIA RURAL HÉROES DE LA REVOLUCIÓN,"A UN LADO DE LA CARRETERA A WADLEY, A UN COSTADO DE LA CLÍNICA DE SALUD",ESCUELA,78562,1,1,6
MATEHUALA,MATEHUALA,CATORCE,118,NO URBANA,415,415,NO URBANA,B1,NO,"CALLE HIDALGO SIN NÚMERO, GUADALUPE DEL
CARNICERO, CÓDIGO POSTAL 78562, CATORCE, SAN LUIS POTOSÍ",37) GUADALUPE DEL CARNICERO 0029,ESCUELA PRIMARIA HERMENEGILDO GALEANA,A UN COSTADO DE LA CANCHA DEPORTIVA,ESCUELA,78562,1,1,6
MATEHUALA,MATEHUALA,CEDRAL,119,NO URBANA,663,660,NO URBANA,B1,NO,"CALLE JUÁREZ SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0024,ESCUELA PRIMARIA 20 DE NOVIEMBRE,ENTRE LAS CALLES DE MANUEL DOBLADO Y JIMÉNEZ,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,119,NO URBANA,663,660,NO URBANA,C1,NO,"CALLE JUÁREZ SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0024,ESCUELA PRIMARIA 20 DE NOVIEMBRE,ENTRE LAS CALLES DE MANUEL DOBLADO Y JIMÉNEZ,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,119,NO URBANA,662,660,NO URBANA,C2,NO,"CALLE JUÁREZ SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0024,ESCUELA PRIMARIA 20 DE NOVIEMBRE,ENTRE LAS CALLES DE MANUEL DOBLADO Y JIMÉNEZ,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,119,NO URBANA,662,659,NO URBANA,C3,NO,"CALLE JUÁREZ SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0024,ESCUELA PRIMARIA 20 DE NOVIEMBRE,ENTRE LAS CALLES DE MANUEL DOBLADO Y JIMÉNEZ,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,120,URBANA,745,745,URBANA,B1,NO,"CALLE GUADALUPE VICTORIA NÚMERO 1101, COLONIA EL DOLLAR, CEDRAL, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0085,JARDÍN DE NIÑOS JUAN ENRIQUE PESTALOZZI,ENTRE LAS CALLES DE ALFONSO REYES Y VASCONCELOS,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,120,URBANA,745,744,URBANA,C1,NO,"CALLE GUADALUPE VICTORIA NÚMERO 1101, COLONIA EL DOLLAR, CEDRAL, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0085,JARDÍN DE NIÑOS JUAN ENRIQUE PESTALOZZI,ENTRE LAS CALLES DE ALFONSO REYES Y VASCONCELOS,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,120,URBANA,744,744,URBANA,C2,NO,"CALLE GUADALUPE VICTORIA NÚMERO 1101, COLONIA EL DOLLAR, CEDRAL, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0085,JARDÍN DE NIÑOS JUAN ENRIQUE PESTALOZZI,ENTRE LAS CALLES DE ALFONSO REYES Y VASCONCELOS,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,121,NO URBANA,661,660,NO URBANA,B1,NO,"CALLE LERDO DE TEJADA SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0003,ESCUELA PRIMARIA URBANA IGNACIO MANUEL ALTAMIRANO,ESQUINA CALLE FRANCISCO I. MADERO,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,121,NO URBANA,661,659,NO URBANA,C1,NO,"CALLE LERDO DE TEJADA SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0003,ESCUELA PRIMARIA URBANA IGNACIO MANUEL ALTAMIRANO,ESQUINA CALLE FRANCISCO I. MADERO,ESCUELA,78520,1,1,7
MATEHUALA,MATEHUALA,CEDRAL,121,NO URBANA,660,659,NO URBANA,C2,NO,"CALLE LERDO DE TEJADA SIN NÚMERO, ZONA CENTRO, CÓDIGO POSTAL 78520, CEDRAL, SAN LUIS POTOSÍ",1) CEDRAL 0003,ESCUELA PRIMARIA URBANA IGNACIO MANUEL ALTAMIRANO,ESQUINA CALLE FRANCISCO I. MADERO,ESCUELA,78520,1,1,7
